,Symbol,Div,AD,ED,RD
20105,TOWN,0.18,2019-05-22,2019-06-27,2019-06-28
20106,TOWN,0.16,2019-02-27,2019-03-28,2019-03-29
20107,TOWN,0.16,2018-11-28,2018-12-27,2018-12-28
20108,TPB,0.05,2020-08-25,2020-09-17,2020-09-18
20109,TPB,0.05,2020-05-27,2020-06-18,2020-06-19
20110,TPB,0.05,2020-02-25,2020-03-19,2020-03-20
20111,TPB,0.045,2019-10-31,2019-12-19,2019-12-20
20112,TPB,0.045,2019-07-30,2019-09-19,2019-09-20
20113,TPB,0.045,2019-04-30,2019-06-20,2019-06-21
20114,TPB,0.045,2019-03-04,2019-03-21,2019-03-22
20115,TPB,0.045,2018-11-06,2018-12-20,2018-12-21
20116,TPCO,0.25,2020-02-19,2020-02-28,2020-03-02
20117,TPCO,0.25,2019-11-13,2019-11-22,2019-11-25
20118,TPCO,1.5,2019-05-30,2019-06-11,2019-06-12
20119,TPHD,0.0604,2020-09-08,2020-09-09,2020-09-10
20120,TPHD,0.0295,2020-08-11,2020-08-12,2020-08-13
20121,TPHD,0.0492,2020-07-07,2020-07-08,2020-07-09
20122,TPHD,0.0781,2020-06-09,2020-06-10,2020-06-11
20123,TPHD,0.0283,2020-05-12,2020-05-13,2020-05-14
20124,TPHD,0.0576,2020-04-06,2020-04-07,2020-04-08
20125,TPHD,0.0755,2020-03-10,2020-03-11,2020-03-12
20126,TPHD,0.0255,2020-02-11,2020-02-12,2020-02-13
20127,TPHD,0.1239,2019-12-17,2019-12-18,2019-12-19
20128,TPHD,0.034,2019-11-12,2019-11-13,2019-11-14
20129,TPHD,0.0471,2019-10-14,2019-10-15,2019-10-16
20130,TPHD,0.0744,2019-09-09,2019-09-10,2019-09-11
20131,TPHD,0.0223,2019-08-13,2019-08-14,2019-08-15
20132,TPHD,0.0624,2019-07-16,2019-07-17,2019-07-18
20133,TPHD,0.0689,2019-06-12,2019-06-13,2019-06-14
20134,TPL,10,2020-02-24,2020-03-06,2020-03-09
20135,TPL,2020-02-24,2020-03-06,2020-03-09,6
20136,TPL,1.75,2019-02-26,2019-03-07,2019-03-08
20137,TPL,2019-02-26,2019-03-07,2019-03-08,4.25
20138,TPOR,,2020-01-09,2020-09-22,2020-09-23
20139,TPOR,0.00335,2020-01-09,2020-06-23,2020-06-24
20140,TPOR,0.01351,2020-01-09,2020-03-24,2020-03-25
