,Symbol,AD,ED,RD
241,AFK,2018-01-29,2018-12-27,2018-12-28
242,AFK,2018-12-19,2018-12-20,2018-12-21
243,AFLG,2020-01-22,2020-09-24,2020-09-25
244,AFLG,2020-01-22,2020-06-25,2020-06-26
245,AFLG,2020-01-22,2020-03-26,2020-03-27
246,AFLG,2019-12-12,2019-12-13,2019-12-16
247,AFT,2020-09-04,2020-09-16,2020-09-17
248,AFT,2020-08-06,2020-08-17,2020-08-18
249,AFT,2020-07-08,2020-07-17,2020-07-20
250,AFT,2020-06-04,2020-06-16,2020-06-17
251,AFT,2020-05-04,2020-05-14,2020-05-15
252,AFT,2020-04-07,2020-04-16,2020-04-17
253,AFT,2020-03-04,2020-03-17,2020-03-18
254,AFT,2020-01-31,2020-02-13,2020-02-14
255,AFT,2020-01-06,2020-01-16,2020-01-17
256,AFT,2019-12-05,2019-12-16,2019-12-17
257,AFT,2019-11-05,2019-11-14,2019-11-15
258,AFT,2019-10-09,2019-10-17,2019-10-18
259,AFT,2019-09-04,2019-09-16,2019-09-17
260,AFT,2019-08-06,2019-08-16,2019-08-19
261,AFT,2019-07-05,2019-07-17,2019-07-18
262,AFT,2019-06-06,2019-06-14,2019-06-17
263,AFT,2019-05-01,2019-05-16,2019-05-17
264,AFT,2019-04-05,2019-04-15,2019-04-16
265,AFT,2019-02-14,2019-03-15,2019-03-18
266,AFT,2019-01-24,2019-02-05,2019-02-06
267,AFT,2018-12-24,2019-01-16,2019-01-17
268,AFT,2018-11-16,2018-12-14,2018-12-17
269,AFT,2018-12-06,2018-12-14,2018-12-17
270,AFT,2018-10-22,2018-11-15,2018-11-16
271,AFT,2018-09-19,2018-10-17,2018-10-18
272,AGCO,2020-07-09,2020-08-13,2020-08-14
273,AGCO,2020-04-30,2020-05-14,2020-05-15
274,AGCO,2020-01-23,2020-02-13,2020-02-14
275,AGCO,2019-10-24,2019-11-14,2019-11-15
276,AGCO,2019-07-12,2019-08-14,2019-08-15
277,AGCO,2019-04-25,2019-05-14,2019-05-15
278,AGCO,2019-01-25,2019-02-14,2019-02-15
279,AGCO,2018-10-25,2018-11-14,2018-11-15
280,AGGP,2020-02-05,2020-10-08,2020-10-09
281,AGGP,2020-02-05,2020-09-09,2020-09-10
282,AGGP,2020-02-05,2020-08-10,2020-08-11
283,AGGP,2020-02-05,2020-07-09,2020-07-10
284,AGGP,2020-02-05,2020-06-08,2020-06-09
285,AGGP,2020-02-05,2020-05-08,2020-05-11
286,AGGP,2020-02-05,2020-04-08,2020-04-09
287,AGGP,2020-02-05,2020-03-09,2020-03-10
288,AGGP,2020-02-07,2020-02-10,2020-02-11
289,AGGP,2019-01-07,2019-12-30,2019-12-31
290,AGGP,2019-01-07,2019-12-09,2019-12-10
291,AGGP,2019-01-07,2019-11-07,2019-11-08
292,AGGP,2019-01-07,2019-10-08,2019-10-09
293,AGGP,2019-01-07,2019-09-10,2019-09-11
294,AGGP,2019-01-07,2019-08-08,2019-08-09
295,AGGP,2019-01-07,2019-07-09,2019-07-10
296,AGGP,2019-01-07,2019-06-10,2019-06-11
297,AGGP,2019-01-07,2019-05-08,2019-05-09
298,AGGP,2019-01-07,2019-04-08,2019-04-09
299,AGGP,2019-01-07,2019-03-08,2019-03-11
300,AGGP,2019-01-07,2019-02-08,2019-02-11
301,AGGP,2018-01-05,2018-12-27,2018-12-28
302,AGGP,2018-01-05,2018-12-10,2018-12-11
303,AGGP,2018-01-05,2018-11-08,2018-11-09
304,AGI,2020-09-01,2020-09-15,2020-09-16
305,AGI,2020-06-02,2020-06-15,2020-06-16
306,AGI,2020-03-03,2020-03-16,2020-03-17
307,AGI,2019-11-22,2019-12-05,2019-12-06
308,AGI,2019-08-29,2019-09-13,2019-09-16
309,AGI,2019-05-28,2019-06-13,2019-06-14
310,AGI,2019-02-19,2019-03-14,2019-03-15
311,AGM.A,2020-08-27,2020-09-15,2020-09-16
312,AGM.A,2020-05-29,2020-06-12,2020-06-15
313,AGM.A,2020-02-24,2020-03-13,2020-03-16
314,AGM.A,2019-11-14,2019-12-13,2019-12-16
315,AGM.A,2019-08-07,2019-09-13,2019-09-16
316,AGM.A,2019-05-17,2019-06-13,2019-06-14
317,AGM.A,2019-02-19,2019-03-14,2019-03-15
318,AGM.A,2018-10-31,2018-12-13,2018-12-14
319,AGNC,2020-09-11,2020-09-29,2020-09-30
320,AGNC,2020-08-13,2020-08-28,2020-08-31
321,AGNC,2020-07-09,2020-07-30,2020-07-31
322,AGNC,2020-06-12,2020-06-29,2020-06-30
323,AGNC,2020-05-14,2020-05-28,2020-05-29
324,AGNC,2020-04-08,2020-04-29,2020-04-30
325,AGNC,2020-03-13,2020-03-30,2020-03-31
326,AGNC,2020-02-13,2020-02-27,2020-02-28
327,AGNC,2020-01-09,2020-01-30,2020-01-31
328,AGNC,2019-12-10,2019-12-30,2019-12-31
329,AGNC,2019-11-12,2019-11-27,2019-11-29
330,AGNC,2019-10-10,2019-10-30,2019-10-31
